"initialisation_method","algorithm","scores","p1","p2","p3","p4","mu1","mu2","mu3","mu4","sigma1","sigma2","sigma3","sigma4","OVL","entropy","OVL_pairwise"
"hc","bgmm","mean",0.25002,0.24954,0.25124,0.2492,0.000674442038523268,3.99823843862244,7.99609330203968,12.0005034737026,0.298997848144076,0.30011787827878,0.301220440835176,0.299583211136757,0.00013,1,0.00013
"hc","bgmm","sd",0.00944314890407272,0.0106789130380142,0.00872554307999315,0.011096975134822,0.0126080263184379,0.0123926069723584,0.0155218869963289,0.0141471949881464,0.00931107380169004,0.0102894041315354,0.0100167892353507,0.00878759008651257,0.00013,1,0.00013
"hc","bgmm","bias",2.000000000002e-05,-0.000459999999999988,0.00124000000000002,-0.000799999999999995,0.000674442038523268,-0.00176156137755923,-0.00390669796032217,0.000503473702593737,-0.00100215185592362,0.000117878278779737,0.00122044083517575,-0.000416788863243256,0.00013,1,0.00013
"hc","bgmm","mse",8.91734612244899e-05,0.000114250783673469,7.76727020408165e-05,0.000123782857142857,0.00015941719970975,0.000156679806058255,0.000256191264879989,0.000200396611801838,8.77004036828497e-05,0.000105885732670665,0.000101825542417601,7.73954524850975e-05,0.00013,1,0.00013
"hc","DCEM","mean",0.250019016133549,0.249540997787936,0.251239994737224,0.249199991341291,0.000669663753402271,3.99822747696303,7.99609332853991,12.0005035010504,0.298988980136275,0.300169763749878,0.301221813790538,0.299583180799881,0.00013,1,0.00013
"hc","DCEM","sd",0.00944420348050172,0.0106786647508663,0.00872553030509889,0.0110969833707635,0.012608004134635,0.0123956553467778,0.0155219200487913,0.0141471652160269,0.00931558761586999,0.0103571647179389,0.010017917476339,0.00878760007223651,0.00013,1,0.00013
"hc","DCEM","bias",1.90161335492101e-05,-0.000459002212064019,0.00123999473722425,-0.000800008658709356,0.000669663753402271,-0.00177252303696962,-0.0039066714600855,0.000503501050356903,-0.00101101986372498,0.000169763749877871,0.00122181379053843,-0.00041681920011849,0.00013,1,0.00013
"hc","DCEM","mse",8.91933409944559e-05,0.000114244563892074,7.7672466053543e-05,0.000123783053785011,0.000159410217801594,0.000156794109392689,0.000256192083898114,0.000200395796957273,8.78023337937968e-05,0.000107299680725291,0.000101851499501488,7.73956532751586e-05,0.00013,1,0.00013
"hc","em R","mean",0.25002,0.24954,0.25124,0.2492,0.000674442038523268,3.99823843862244,7.99609330203968,12.0005034737026,0.298997848144076,0.300117878278779,0.301220440835179,0.299583211136753,0.00013,1,0.00013
"hc","em R","sd",0.00944314890407272,0.0106789130380142,0.00872554307999315,0.011096975134822,0.0126080263184379,0.0123926069723585,0.0155218869963289,0.0141471949881463,0.00931107380169002,0.0102894041315363,0.0100167892353517,0.00878759008651294,0.00013,1,0.00013
"hc","em R","bias",2.000000000002e-05,-0.000459999999999988,0.00124000000000002,-0.000799999999999995,0.000674442038523268,-0.00176156137755923,-0.00390669796032306,0.000503473702593737,-0.00100215185592362,0.000117878278779349,0.00122044083517936,-0.000416788863247364,0.00013,1,0.00013
"hc","em R","mse",8.91734612244899e-05,0.000114250783673469,7.76727020408165e-05,0.000123782857142857,0.00015941719970975,0.000156679806058256,0.000256191264879997,0.000200396611801836,8.77004036828494e-05,0.000105885732670684,0.000101825542417631,7.73954524851076e-05,0.00013,1,0.00013
"hc","EMCluster","mean",0.250020000004358,0.249539999995642,0.251239999998716,0.249200000001284,0.000674442095005362,3.99823843863834,7.99609330203502,12.0005034736861,0.298997848439468,0.300117878258489,0.301220440829249,0.299583211221698,0.00013,1,0.00013
"hc","EMCluster","sd",0.00944314890010444,0.0106789130436911,0.00872554308126059,0.0110969751339018,0.0126080263762497,0.0123926069790097,0.0155218869974498,0.0141471950066727,0.00931107373262352,0.0102894041330382,0.0100167892323452,0.00878759009215362,0.00013,1,0.00013
"hc","EMCluster","bias",2.00000043577564e-05,-0.000460000004357752,0.00123999999871627,-0.000799999998716272,0.000674442095005362,-0.00176156136166217,-0.00390669796498422,0.000503473686052303,-0.00100215156053218,0.000117878258489135,0.00122044082924921,-0.000416788778302202,0.00013,1,0.00013
"hc","EMCluster","mse",8.91734611497181e-05,0.000114250783798724,7.76727020597509e-05,0.000123782857120381,0.000159417201243723,0.000156679806167101,0.000256191264951213,0.000200396612309372,8.77004018046289e-05,0.000105885732696807,0.000101825542342925,7.7395452513435e-05,0.00013,1,0.00013
"hc","flexmix","mean",0.25002,0.24954,0.25124,0.2492,0.000674442038523268,3.99823843862244,7.99609330203968,12.0005034737026,0.299297660320654,0.300419560688685,0.301521077389897,0.299884782836995,0.00013,1,0.00013
"hc","flexmix","sd",0.00944314890407272,0.0106789130380142,0.00872554307999315,0.011096975134822,0.0126080263184379,0.0123926069723584,0.015521886996329,0.0141471949881462,0.00931947878886364,0.0103001108797168,0.0100298900691607,0.00879611314009423,0.00013,1,0.00013
"hc","flexmix","bias",2.000000000002e-05,-0.000459999999999988,0.00124000000000002,-0.000799999999999995,0.000674442038523268,-0.00176156137755923,-0.00390669796032306,0.000503473702593737,-0.000702339679345521,0.000419560688685261,0.00152107738989704,-0.000115217163004833,0.00013,1,0.00013
"hc","flexmix","mse",8.91734612244899e-05,0.000114250783673469,7.76727020408165e-05,0.000123782857142857,0.00015941719970975,0.000156679806058254,0.000256191264879998,0.000200396611801833,8.73459659212625e-05,0.00010626831530595,0.000102912371225505,7.73848813679892e-05,0.00013,1,0.00013
"hc","GMKMcharlie","mean",0.25002,0.24954,0.25124,0.2492,0.000674442038523266,3.99823843862244,7.99609330203968,12.0005034737026,0.298999521991604,0.300119546211045,0.301222102508104,0.299584881519704,0.00013,1,0.00013
"hc","GMKMcharlie","sd",0.00944314890407272,0.0106789130380142,0.00872554307999315,0.011096975134822,0.0126080263184379,0.0123926069723579,0.0155218869963298,0.0141471949881458,0.0093110213941561,0.0102893468420475,0.0100167351186718,0.00878754130675093,0.00013,1,0.00013
"hc","GMKMcharlie","bias",2.000000000002e-05,-0.000459999999999988,0.00124000000000002,-0.000799999999999995,0.000674442038523266,-0.00176156137755923,-0.00390669796032395,0.000503473702591961,-0.00100047800839631,0.000119546211045152,0.00122210250810356,-0.000415118480296017,0.00013,1,0.00013
"hc","GMKMcharlie","mse",8.91734612244899e-05,0.000114250783673469,7.76727020408165e-05,0.000123782857142857,0.00015941719970975,0.000156679806058242,0.000256191264880032,0.00020039661180182,8.76960756477173e-05,0.000105884949732528,0.000101828516977946,7.73932055705371e-05,0.00013,1,0.00013
"hc","mclust","mean",0.25002,0.24954,0.25124,0.2492,0.000674442038523269,3.99823843862244,7.99609330203968,12.0005034737026,0.298997848144076,0.30011787827878,0.301220440835176,0.299583211136757,0.00013,1,0.00013
"hc","mclust","sd",0.00944314890407272,0.0106789130380142,0.00872554307999315,0.011096975134822,0.0126080263184379,0.0123926069723586,0.0155218869963287,0.014147194988146,0.00931107380169004,0.0102894041315354,0.0100167892353506,0.00878759008651255,0.00013,1,0.00013
"hc","mclust","bias",2.000000000002e-05,-0.000459999999999988,0.00124000000000002,-0.000799999999999995,0.000674442038523269,-0.00176156137755878,-0.00390669796032306,0.000503473702593737,-0.00100215185592362,0.000117878278779793,0.00122044083517575,-0.0004167888632432,0.00013,1,0.00013
"hc","mclust","mse",8.91734612244899e-05,0.000114250783673469,7.76727020408165e-05,0.000123782857142857,0.00015941719970975,0.000156679806058259,0.00025619126487999,0.000200396611801828,8.77004036828497e-05,0.000105885732670666,0.000101825542417601,7.73954524850972e-05,0.00013,1,0.00013
