"initialisation_method","package","scores","p1","p2","mu_var1_comp1","mu_var1_comp2","mu_var2_comp1","mu_var2_comp2","sd_var1_var1_comp1","sd_var2_var1_comp1","sd_var2_var2_comp1","sd_var1_var1_comp2","sd_var2_var1_comp2","sd_var2_var2_comp2","OVL","entropy","true_parameters_factor"
"hc","bgmm","bias",-0.00880443904960765,0.00880443904960759,-0.0364069983291583,0.00492529219149818,0.0343829659489914,0.0012521320071485,-0.0405641257040646,0.0305927246529712,-0.0228415685422459,-0.0102447124547596,0.000588031603965922,-0.00377619114504801,0.29,1,"p1_0.5_p2_0.5_mu_var1_comp1_0_mu_var1_comp2_2_mu_var2_comp1_2_mu_var2_comp2_0_sd_var1_var1_comp1_1_sd_var2_var1_comp1_-0.8_sd_var2_var2_comp1_1_sd_var1_var1_comp2_1_sd_var2_var1_comp2_-0.8_sd_var2_var2_comp2_1Nobservations_500"
"hc","bgmm","mse",0.0239719592691187,0.0239719592691186,0.106304726377003,0.101485455414323,0.100812952403951,0.111001019194433,0.0696557212484877,0.0592220814597333,0.0584885665351523,0.0733951893791701,0.0713954211573199,0.0796017208516037,0.29,1,"p1_0.5_p2_0.5_mu_var1_comp1_0_mu_var1_comp2_2_mu_var2_comp1_2_mu_var2_comp2_0_sd_var1_var1_comp1_1_sd_var2_var1_comp1_-0.8_sd_var2_var2_comp1_1_sd_var1_var1_comp2_1_sd_var2_var1_comp2_-0.8_sd_var2_var2_comp2_1Nobservations_500"
"hc","em R","bias",-0.017860066363995,0.017860066363995,-0.0492223734274658,-0.0136277419700293,0.0489979106415692,0.0196893774889622,-0.0537130207862805,0.0436444135315582,-0.0336332076726331,0.0109706992281653,-0.0202773316148117,0.0164811579074469,0.29,1,"p1_0.5_p2_0.5_mu_var1_comp1_0_mu_var1_comp2_2_mu_var2_comp1_2_mu_var2_comp2_0_sd_var1_var1_comp1_1_sd_var2_var1_comp1_-0.8_sd_var2_var2_comp1_1_sd_var1_var1_comp2_1_sd_var2_var1_comp2_-0.8_sd_var2_var2_comp2_1Nobservations_500"
"hc","em R","mse",0.0303454001018268,0.0303454001018268,0.12658221078348,0.128785699691045,0.123695070128551,0.13894027145299,0.0869848696175765,0.0773351859303301,0.0718203581670262,0.101834861697843,0.0992796359097834,0.107999971899975,0.29,1,"p1_0.5_p2_0.5_mu_var1_comp1_0_mu_var1_comp2_2_mu_var2_comp1_2_mu_var2_comp2_0_sd_var1_var1_comp1_1_sd_var2_var1_comp1_-0.8_sd_var2_var2_comp1_1_sd_var1_var1_comp2_1_sd_var2_var1_comp2_-0.8_sd_var2_var2_comp2_1Nobservations_500"
"hc","EMCluster","bias",-0.00880929978872069,0.00880929978872069,-0.0364893626201388,0.00498982445423257,0.0344835796606331,0.00117666966724502,-0.0407561867672975,0.0308173931415836,-0.0230820391501209,-0.0104297550407286,0.000787643121887727,-0.00398329803233188,0.29,1,"p1_0.5_p2_0.5_mu_var1_comp1_0_mu_var1_comp2_2_mu_var2_comp1_2_mu_var2_comp2_0_sd_var1_var1_comp1_1_sd_var2_var1_comp1_-0.8_sd_var2_var2_comp1_1_sd_var1_var1_comp2_1_sd_var2_var1_comp2_-0.8_sd_var2_var2_comp2_1Nobservations_500"
"hc","EMCluster","mse",0.0239042116224669,0.0239042116224669,0.106015523439358,0.101213537186146,0.10053032021584,0.11071377284993,0.0694661652232073,0.0590536895187074,0.0583321964982664,0.0731619613454742,0.0711850642676763,0.0793783811986261,0.29,1,"p1_0.5_p2_0.5_mu_var1_comp1_0_mu_var1_comp2_2_mu_var2_comp1_2_mu_var2_comp2_0_sd_var1_var1_comp1_1_sd_var2_var1_comp1_-0.8_sd_var2_var2_comp1_1_sd_var1_var1_comp2_1_sd_var2_var1_comp2_-0.8_sd_var2_var2_comp2_1Nobservations_500"
"hc","flexmix","bias",-0.00931999999999999,0.00931999999999999,-0.0339043194240017,0.00209695694762946,0.0319503700546004,0.00407802986674479,-0.0327422562849773,0.0237375525841208,-0.0151771733309165,-0.00212925649099538,-0.00677244094236573,0.00431598131961031,0.29,1,"p1_0.5_p2_0.5_mu_var1_comp1_0_mu_var1_comp2_2_mu_var2_comp1_2_mu_var2_comp2_0_sd_var1_var1_comp1_1_sd_var2_var1_comp1_-0.8_sd_var2_var2_comp1_1_sd_var1_var1_comp2_1_sd_var2_var1_comp2_-0.8_sd_var2_var2_comp2_1Nobservations_500"
"hc","flexmix","mse",0.023533506440404,0.023533506440404,0.104583142828783,0.100053964555049,0.0991598308079385,0.109517096764414,0.0685338773515752,0.0585451300743594,0.0577195227352905,0.0730094487997465,0.0714934458554547,0.0795125415988183,0.29,1,"p1_0.5_p2_0.5_mu_var1_comp1_0_mu_var1_comp2_2_mu_var2_comp1_2_mu_var2_comp2_0_sd_var1_var1_comp1_1_sd_var2_var1_comp1_-0.8_sd_var2_var2_comp1_1_sd_var1_var1_comp2_1_sd_var2_var1_comp2_-0.8_sd_var2_var2_comp2_1Nobservations_500"
"hc","GMKMcharlie","bias",-0.00890006822553324,0.00890006822553324,-0.0363766476867641,0.0044914649683867,0.0342756644061217,0.00170462935749187,-0.0399621935196429,0.0298048936800611,-0.0219754339787535,-0.00922267490849216,-0.000473985279774713,-0.00271209955981366,0.29,1,"p1_0.5_p2_0.5_mu_var1_comp1_0_mu_var1_comp2_2_mu_var2_comp1_2_mu_var2_comp2_0_sd_var1_var1_comp1_1_sd_var2_var1_comp1_-0.8_sd_var2_var2_comp1_1_sd_var1_var1_comp2_1_sd_var2_var1_comp2_-0.8_sd_var2_var2_comp2_1Nobservations_500"
"hc","GMKMcharlie","mse",0.024500871006582,0.024500871006582,0.108565395152457,0.103594703168585,0.1030418380157,0.11325223315602,0.0710538248298608,0.060518687075714,0.0597106995210498,0.0753009815458403,0.0731677042695971,0.0814624204375833,0.29,1,"p1_0.5_p2_0.5_mu_var1_comp1_0_mu_var1_comp2_2_mu_var2_comp1_2_mu_var2_comp2_0_sd_var1_var1_comp1_1_sd_var2_var1_comp1_-0.8_sd_var2_var2_comp1_1_sd_var1_var1_comp2_1_sd_var2_var1_comp2_-0.8_sd_var2_var2_comp2_1Nobservations_500"
