"algorithm","initialisation_method","p1","p2","mu1","mu2","sigma1","sigma2","prop_outliers"
"RGMMBench","kmeans",0.500644796426924,0.499355203573076,-0.0959740615872084,4.11406828962575,0.82132726070296,0.863362495595506,0.02
"Rmixmod","kmeans",0.500644796426924,0.499355203573076,-0.0959740615872087,4.11406828962573,0.821327260702961,0.863362495595507,0.02
"mixtools","kmeans",0.500644781881953,0.499355218118047,-0.0959741530375643,4.11406818642998,0.82132718957738,0.863362577535066,0.02
"bgmm","kmeans",0.501177751295864,0.498822248704136,-0.0110325989222594,4.0157748221474,0.322035274630256,0.306064083272156,0.02
"mclust","kmeans",0.500644765288599,0.499355234711401,-0.0959741829839543,4.11406814881011,0.821327117060313,0.8633626766221,0.02
"EMCluster","kmeans",0.500644537746497,0.499355462253503,-0.0959729540184229,4.11406499827531,0.821330828239304,0.863369803969811,0.02
"GMKMcharlie","kmeans",0.500644796870379,0.499355203129622,-0.0959740585501747,4.11406829031961,0.821327874469661,0.863363075729688,0.02
"flexmix","kmeans",0.5005,0.4995,-0.0959736120553502,4.11406666753604,0.821739162038176,0.863798446072835,0.02
"DCEM","kmeans",0.500642840784967,0.499357159215033,-0.0959825076800733,4.11406026959547,0.821316420512694,0.86337158190958,0.02
"RGMMBench","quantiles",0.500644796977082,0.499355203022918,-0.0959740595522726,4.11406829222391,0.821327262994141,0.863362492095016,0.02
"Rmixmod","quantiles",0.500644798066161,0.499355201933839,-0.0959740584731468,4.11406830032397,0.821327260908276,0.863362477062456,0.02
"mixtools","quantiles",0.500644798437641,0.499355201562359,-0.0959740557465755,4.11406830351753,0.821327263211351,0.863362475488554,0.02
"bgmm","quantiles",0.501177418212585,0.498822581787415,-0.0110339823246237,4.0157735233073,0.322030910461669,0.30606810880748,0.02
"mclust","quantiles",0.500644831660797,0.499355168339203,-0.0959744108377583,4.11406893683357,0.821326331736912,0.86336095277588,0.02
"EMCluster","quantiles",0.500644692824924,0.499355307175076,-0.0959733607638691,4.11406671352896,0.82132926732988,0.863366129138876,0.02
"GMKMcharlie","quantiles",0.500644796870379,0.499355203129622,-0.0959740585501747,4.11406829031961,0.821327874469661,0.863363075729688,0.02
"flexmix","quantiles",0.5005,0.4995,-0.0959738413611973,4.11406746180563,0.821738370631862,0.863796708374663,0.02
"DCEM","quantiles",0.500644831660798,0.499355168339202,-0.0959744108377582,4.11406893683359,0.82132633173691,0.863360952775879,0.02
"RGMMBench","random",0.472406421918908,0.527593578081092,-0.0278520929905497,3.82773802647808,0.284603249245803,1.62764059226614,0.02
"Rmixmod","random",0.472404369601301,0.527595630398699,-0.0278531012888811,3.82772393126855,0.284601733629082,1.62765338572828,0.02
"mixtools","random",0.472405768110601,0.527594231889399,-0.0278529553480028,3.82772697673369,0.284602681700191,1.62764478010776,0.02
"bgmm","random",0.501176701315879,0.498823298684121,-0.0110369598341726,4.01577072781421,0.322021517201505,0.306076772771561,0.02
"mclust","random",0.472255239862208,0.527744760137792,-0.0279255011924708,3.82669921249553,0.284492294791937,1.62858391698102,0.02
"EMCluster","random",0.472603704069774,0.527396295930226,-0.0277544808358117,3.82909280892772,0.284749357068185,1.62641076084702,0.02
"GMKMcharlie","random",0.472408784114102,0.527591215885898,-0.0278508230360283,3.82775415206645,0.284606942670815,1.62762637593745,0.02
"flexmix","random",0.4845,0.5155,-0.0279177262098393,3.82655792927873,0.284647756229621,1.62948235785842,0.02
"DCEM","random",0.471746130127502,0.528253869872498,-0.0281423427631861,3.82317792680387,0.284146356507899,1.63180802922724,0.02
"RGMMBench","hc",0.47240982777844,0.52759017222156,-0.0278504193645362,3.82776141766622,0.284605764646621,1.62761936127791,0.02
"Rmixmod","hc",0.472411445663589,0.527588554336411,-0.0278496241943044,3.82777252914611,0.284606959628398,1.62760927592607,0.02
