"algorithm","time","nobservations","prop_outliers"
"mclust",0.009994503,100,0.02
"RGMMBench",0.055174354,100,0.02
"mixtools",1.797356544,100,0.02
"Rmixmod",0.018457645,100,0.02
"otrimle",0.988801431,100,0.02
"EMCluster",0.165407957,100,0.02
"bgmm",2.153020883,100,0.02
"flexmix",0.591209556,100,0.02
"DCEM",0.164827219,100,0.02
"GMKMcharlie",0.355798171,100,0.02
"mclust",0.000993102,100,0.02
"RGMMBench",0.004550951,100,0.02
"mixtools",0.001507837,100,0.02
"Rmixmod",0.138954676,100,0.02
"otrimle",0.210344754,100,0.02
"EMCluster",0.001357205,100,0.02
"bgmm",0.002077965,100,0.02
"flexmix",0.025259895,100,0.02
"DCEM",0.008772152,100,0.02
"GMKMcharlie",0.002772356,100,0.02
"mclust",0.00101873,100,0.02
"RGMMBench",0.00503079,100,0.02
"mixtools",0.001532914,100,0.02
"Rmixmod",0.003983506,100,0.02
"otrimle",0.213097092,100,0.02
"EMCluster",0.001444587,100,0.02
"bgmm",0.002332172,100,0.02
"flexmix",0.009785,100,0.02
"DCEM",0.008357916,100,0.02
"GMKMcharlie",0.003268996,100,0.02
"mclust",0.001107144,100,0.02
"RGMMBench",0.005208363,100,0.02
"mixtools",0.001674048,100,0.02
"Rmixmod",0.004616794,100,0.02
"otrimle",0.203197388,100,0.02
"EMCluster",0.001406295,100,0.02
"bgmm",0.002389729,100,0.02
"flexmix",0.009472695,100,0.02
"DCEM",0.007990517,100,0.02
"GMKMcharlie",0.003105702,100,0.02
"mclust",0.001087139,100,0.02
"RGMMBench",0.004583532,100,0.02
"mixtools",0.001629034,100,0.02
"Rmixmod",0.003856278,100,0.02
"otrimle",0.201044341,100,0.02
"EMCluster",0.001308632,100,0.02
"bgmm",0.001956307,100,0.02
"flexmix",0.008679297,100,0.02
"DCEM",0.008113047,100,0.02
"GMKMcharlie",0.002873807,100,0.02
"mclust",0.0009494,100,0.02
"RGMMBench",0.004724376,100,0.02
"mixtools",0.001412889,100,0.02
"Rmixmod",0.00344126,100,0.02
"otrimle",0.188482286,100,0.02
"EMCluster",0.001311619,100,0.02
"bgmm",0.002392835,100,0.02
"flexmix",0.010393912,100,0.02
"DCEM",0.008765008,100,0.02
"GMKMcharlie",0.003133724,100,0.02
"mclust",0.001176185,100,0.02
"RGMMBench",0.00503622,100,0.02
"mixtools",0.001705297,100,0.02
"Rmixmod",0.004050512,100,0.02
"otrimle",0.208914894,100,0.02
"EMCluster",0.001334832,100,0.02
"bgmm",0.00200599,100,0.02
"flexmix",0.008922043,100,0.02
"DCEM",0.008132724,100,0.02
"GMKMcharlie",0.002974565,100,0.02
"mclust",0.000974757,100,0.02
"RGMMBench",0.004682547,100,0.02
"mixtools",0.001534778,100,0.02
"Rmixmod",0.003413739,100,0.02
"otrimle",0.195494771,100,0.02
"EMCluster",0.001285008,100,0.02
"bgmm",0.001938815,100,0.02
"flexmix",0.008569973,100,0.02
"DCEM",0.007824125,100,0.02
"GMKMcharlie",0.002822249,100,0.02
"mclust",0.000944441,100,0.02
"RGMMBench",0.004628946,100,0.02
"mixtools",0.001331636,100,0.02
"Rmixmod",0.003334571,100,0.02
"otrimle",0.186938533,100,0.02
"EMCluster",0.001249402,100,0.02
"bgmm",0.002257011,100,0.02
"flexmix",0.009048901,100,0.02
"DCEM",0.008117104,100,0.02
"GMKMcharlie",0.003041872,100,0.02
"mclust",0.001158632,100,0.02
"RGMMBench",0.004835624,100,0.02
"mixtools",0.001660323,100,0.02
"Rmixmod",0.003927621,100,0.02
"otrimle",0.214525159,100,0.02
"EMCluster",0.001212272,100,0.02
"bgmm",0.001928104,100,0.02
"flexmix",0.008498039,100,0.02
"DCEM",0.007758522,100,0.02
"GMKMcharlie",0.002830827,100,0.02
"mclust",0.000959879,100,0.02
"RGMMBench",0.004609399,100,0.02
"mixtools",0.001409411,100,0.02
"Rmixmod",0.003353154,100,0.02
"otrimle",0.194817711,100,0.02
"EMCluster",0.001268909,100,0.02
"bgmm",0.002360715,100,0.02
"flexmix",0.009716612,100,0.02
"DCEM",0.008378986,100,0.02
"GMKMcharlie",0.003065857,100,0.02
"mclust",0.00115783,100,0.02
"RGMMBench",0.004936873,100,0.02
"mixtools",0.001522574,100,0.02
"Rmixmod",0.004095186,100,0.02
"otrimle",0.2256923,100,0.02
"EMCluster",0.001254291,100,0.02
"bgmm",0.002337731,100,0.02
"flexmix",0.009105697,100,0.02
"DCEM",0.008063213,100,0.02
"GMKMcharlie",0.003084642,100,0.02
"mclust",0.00118393,100,0.02
"RGMMBench",0.004809425,100,0.02
"mixtools",0.001714443,100,0.02
"Rmixmod",0.003885824,100,0.02
"otrimle",0.186661123,100,0.02
"EMCluster",0.00120005,100,0.02
"bgmm",0.002162794,100,0.02
"flexmix",0.00887237,100,0.02
"DCEM",0.007824816,100,0.02
"GMKMcharlie",0.003004071,100,0.02
"mclust",0.00094918,100,0.02
"RGMMBench",0.004786231,100,0.02
"mixtools",0.001661515,100,0.02
"Rmixmod",0.003670059,100,0.02
"otrimle",0.204502523,100,0.02
"EMCluster",0.001199108,100,0.02
"bgmm",0.001870176,100,0.02
"flexmix",0.007881943,100,0.02
"DCEM",0.007780944,100,0.02
"GMKMcharlie",0.00281714,100,0.02
"mclust",0.000792806,100,0.02
"RGMMBench",0.004595443,100,0.02
"mixtools",0.001387321,100,0.02
"Rmixmod",0.003194248,100,0.02
"otrimle",0.203101748,100,0.02
"EMCluster",0.001361291,100,0.02
"bgmm",0.002438871,100,0.02
"flexmix",0.010180482,100,0.02
"DCEM",0.008388151,100,0.02
"GMKMcharlie",0.003185731,100,0.02
"mclust",0.001123085,100,0.02
"RGMMBench",0.00495066,100,0.02
"mixtools",0.001660252,100,0.02
"Rmixmod",0.004694258,100,0.02
"otrimle",0.184795466,100,0.02
"EMCluster",0.001360901,100,0.02
"bgmm",0.002435285,100,0.02
"flexmix",0.010283564,100,0.02
"DCEM",0.008385917,100,0.02
"GMKMcharlie",0.00315805,100,0.02
"mclust",0.001127463,100,0.02
"RGMMBench",0.005107994,100,0.02
"mixtools",0.001694948,100,0.02
"Rmixmod",0.00460439,100,0.02
"otrimle",0.194349683,100,0.02
"EMCluster",0.001213104,100,0.02
"bgmm",0.00232043,100,0.02
"flexmix",0.008690669,100,0.02
"DCEM",0.008099742,100,0.02
"GMKMcharlie",0.002877353,100,0.02
"mclust",0.001025974,100,0.02
"RGMMBench",0.004981537,100,0.02
"mixtools",0.001419001,100,0.02
"Rmixmod",0.003151708,100,0.02
"otrimle",0.204700244,100,0.02
"EMCluster",0.00138225,100,0.02
"bgmm",0.002559787,100,0.02
"flexmix",0.013602205,100,0.02
"DCEM",0.010812306,100,0.02
"GMKMcharlie",0.003321656,100,0.02
"mclust",0.001163652,100,0.02
"RGMMBench",0.005623281,100,0.02
"mixtools",0.001553662,100,0.02
"Rmixmod",0.004726218,100,0.02
"otrimle",0.206828042,100,0.02
"EMCluster",0.001110702,100,0.02
"bgmm",0.001833717,100,0.02
"flexmix",0.008024691,100,0.02
"DCEM",0.007445687,100,0.02
"GMKMcharlie",0.002713987,100,0.02
"mclust",0.000925154,100,0.02
"RGMMBench",0.004478395,100,0.02
"mixtools",0.001993758,100,0.02
"Rmixmod",0.003248189,100,0.02
"otrimle",0.181332576,100,0.02
"EMCluster",0.001231439,100,0.02
"bgmm",0.002360104,100,0.02
"flexmix",0.013040613,100,0.02
"DCEM",0.009493043,100,0.02
"GMKMcharlie",0.003247368,100,0.02
"mclust",0.001035682,100,0.02
"RGMMBench",0.005389972,100,0.02
"mixtools",0.001744309,100,0.02
"Rmixmod",0.004830754,100,0.02
"otrimle",0.198972077,100,0.02
"EMCluster",0.001173089,100,0.02
"bgmm",0.002151052,100,0.02
"flexmix",0.008948021,100,0.02
"DCEM",0.008309475,100,0.02
"GMKMcharlie",0.002929972,100,0.02
"mclust",0.001014321,100,0.02
"RGMMBench",0.004845893,100,0.02
"mixtools",0.001451672,100,0.02
"Rmixmod",0.003393311,100,0.02
"otrimle",0.178611144,100,0.02
"EMCluster",0.001227351,100,0.02
"bgmm",0.002068237,100,0.02
"flexmix",0.008972377,100,0.02
"DCEM",0.007629261,100,0.02
"GMKMcharlie",0.00277948,100,0.02
"mclust",0.000973255,100,0.02
"RGMMBench",0.004792974,100,0.02
"mixtools",0.001393621,100,0.02
"Rmixmod",0.00334018,100,0.02
"otrimle",0.170327108,100,0.02
"EMCluster",0.001178369,100,0.02
"bgmm",0.002297367,100,0.02
"flexmix",0.012343787,100,0.02
"DCEM",0.009212418,100,0.02
"GMKMcharlie",0.003101714,100,0.02
"mclust",0.001015744,100,0.02
"RGMMBench",0.005877576,100,0.02
"mixtools",0.001572017,100,0.02
"Rmixmod",0.004788836,100,0.02
"otrimle",0.205275903,100,0.02
"EMCluster",0.001206079,100,0.02
"bgmm",0.002070661,100,0.02
"flexmix",0.008764587,100,0.02
"DCEM",0.007776065,100,0.02
"GMKMcharlie",0.002537256,100,0.02
"mclust",0.000784531,100,0.02
"RGMMBench",0.004630469,100,0.02
"mixtools",0.001191513,100,0.02
"Rmixmod",0.003078851,100,0.02
"otrimle",0.191396368,100,0.02
"EMCluster",0.000990166,100,0.02
"bgmm",0.001667165,100,0.02
"flexmix",0.007940424,100,0.02
"DCEM",0.007589304,100,0.02
"GMKMcharlie",0.002787816,100,0.02
"mclust",0.000792055,100,0.02
"RGMMBench",0.004609501,100,0.02
"mixtools",0.001210299,100,0.02
"Rmixmod",0.003107064,100,0.02
"otrimle",0.195907484,100,0.02
"EMCluster",0.001342255,100,0.02
"bgmm",0.00268369,100,0.02
"flexmix",0.013899221,100,0.02
"DCEM",0.012005312,100,0.02
"GMKMcharlie",0.003476698,100,0.02
"mclust",0.00105586,100,0.02
"RGMMBench",0.005783552,100,0.02
"mixtools",0.001864384,100,0.02
"Rmixmod",0.005325513,100,0.02
"otrimle",0.207473882,100,0.02
"EMCluster",0.001044979,100,0.02
"bgmm",0.002115085,100,0.02
"flexmix",0.008156208,100,0.02
"DCEM",0.007798967,100,0.02
"GMKMcharlie",0.002851104,100,0.02
"mclust",0.000873928,100,0.02
"RGMMBench",0.004872793,100,0.02
"mixtools",0.001295288,100,0.02
"Rmixmod",0.00333464,100,0.02
"otrimle",0.211492946,100,0.02
"EMCluster",0.001316218,100,0.02
"bgmm",0.002580978,100,0.02
"flexmix",0.01383416,100,0.02
"DCEM",0.011974594,100,0.02
"GMKMcharlie",0.003343506,100,0.02
"mclust",0.00094444,100,0.02
"RGMMBench",0.004659513,100,0.02
"mixtools",0.001495343,100,0.02
"Rmixmod",0.003756301,100,0.02
"otrimle",0.192017332,100,0.02
"EMCluster",0.001239503,100,0.02
"bgmm",0.002018394,100,0.02
"flexmix",0.008684258,100,0.02
"DCEM",0.007675598,100,0.02
"GMKMcharlie",0.002864711,100,0.02
"mclust",0.001046442,100,0.02
"RGMMBench",0.00463078,100,0.02
"mixtools",0.001382451,100,0.02
"Rmixmod",0.003983947,100,0.02
"otrimle",0.176863399,100,0.02
"EMCluster",0.00104044,100,0.02
"bgmm",0.001770308,100,0.02
"flexmix",0.008080115,100,0.02
"DCEM",0.007565279,100,0.02
"GMKMcharlie",0.002917248,100,0.02
"mclust",0.000888264,100,0.02
"RGMMBench",0.004602937,100,0.02
"mixtools",0.001328921,100,0.02
"Rmixmod",0.003196181,100,0.02
"otrimle",0.202571916,100,0.02
"EMCluster",0.001013119,100,0.02
"bgmm",0.001817025,100,0.02
"flexmix",0.014679965,100,0.02
"DCEM",0.007254919,100,0.02
"GMKMcharlie",0.002658312,100,0.02
"mclust",0.000744636,100,0.02
"RGMMBench",0.004559467,100,0.02
"mixtools",0.001393432,100,0.02
"Rmixmod",0.002821488,100,0.02
"otrimle",0.194143638,100,0.02
"EMCluster",0.001290549,100,0.02
"bgmm",0.002619491,100,0.02
"flexmix",0.013905534,100,0.02
"DCEM",0.011783326,100,0.02
"GMKMcharlie",0.003319321,100,0.02
"mclust",0.001102768,100,0.02
"RGMMBench",0.005786556,100,0.02
"mixtools",0.001656334,100,0.02
"Rmixmod",0.004659453,100,0.02
"otrimle",0.188256053,100,0.02
"EMCluster",0.000950962,100,0.02
"bgmm",0.001761823,100,0.02
"flexmix",0.008054237,100,0.02
"DCEM",0.007659747,100,0.02
"GMKMcharlie",0.002727452,100,0.02
"mclust",0.000755016,100,0.02
"RGMMBench",0.004667849,100,0.02
"mixtools",0.001392501,100,0.02
"Rmixmod",0.002936725,100,0.02
"otrimle",0.188327887,100,0.02
"EMCluster",0.001159975,100,0.02
"bgmm",0.002221745,100,0.02
"flexmix",0.009036938,100,0.02
"DCEM",0.007944961,100,0.02
"GMKMcharlie",0.003138673,100,0.02
"mclust",0.001313712,100,0.02
"RGMMBench",0.004655406,100,0.02
"mixtools",0.0016168,100,0.02
"Rmixmod",0.004239988,100,0.02
"otrimle",0.180263772,100,0.02
"EMCluster",0.000907431,100,0.02
"bgmm",0.001705987,100,0.02
"flexmix",0.008158111,100,0.02
"DCEM",0.007697407,100,0.02
"GMKMcharlie",0.002633197,100,0.02
"mclust",0.000956583,100,0.02
"RGMMBench",0.004676476,100,0.02
